ID,Name,Latitude,Longitude,Average_Rating,Number_User_Ratings,Address
ChIJYVJxV_o1joARVrgtUidljuU,Echelon IT,37.2223518,-121.9844792,1,1,"20 S Santa Cruz Ave #300, Los Gatos"
ChIJrQtCda81joARsC6O8Vq-Oos,Udex Software,37.2219696,-121.9786049,4.9,15,"101 Church St # 14, Los Gatos"
ChIJWflR7MBZqDsReHnSNpEsG5M,ViSolve Inc.,37.219271,-121.8844152,3.8,5,"6559 Springpath Ln, San Jose"
ChIJdXgdpAUxjoARUo2_K7ueakI,"Calyx Technology, Inc.",37.2201352,-121.8645582,2.3,9,"6475 Camden Ave # 207, San Jose"
ChIJMZrrggUxjoARWJshfZoxE54,Demand Boost Inc,37.2209902,-121.8649583,5,15,"6472 Camden Ave #106, San Jose"
ChIJaVgLr8M0joARjqkGAiFxYH8,Salentro Technologies Inc.,37.2236778,-121.8588036,4.1,68,"#6568, Camden Ave, San Jose"
ChIJiSIRw2k1joARUTAdy1oZl_4,Cradlepoint Silicon Valley Office,37.2330034,-121.9786365,5,4,"536 N Santa Cruz Ave, Los Gatos"
ChIJb8FYT-g1joARl8CxoMDllqs,Infogain Corp,37.2298227,-121.971956,3.9,18,"485 Alberto Way #100, Los Gatos"
ChIJpUY9qNw1joAR8tR01k6v8Bc,Bonzzu,37.2337606,-121.964351,3,2,"16185 Los Gatos Blvd Ste 205 PMB #9, Los Gatos"
ChIJ1dR-IbIvjoAR-YDMUBIzLPw,Tradebuilder Corporation,37.233213,-121.7781777,5,6,"90 Great Oaks Blvd #205a, San Jose"
ChIJYYe8pmkujoAROJbx1FBHsRw,Catalyst Business Solutions,37.236382,-121.7780307,5,2,"6203 San Ignacio Ave #110, San Jose"
ChIJpX4m8WwujoARwFT2KyX9l5I,IntelliVision,37.2362349,-121.7780608,4.4,5,"6203 San Ignacio Ave #112, San Jose"
ChIJmXn4vZQ1joARU1PmycUzeAk,Kyvos Insights,37.2380029,-121.9747672,3.3,4,"720 University Ave #130, Los Gatos"
ChIJJe4dvpQ1joARQ_UgiXr_1nA,Klera,37.2380898,-121.9747034,5,1,"720 University Ave #130, Los Gatos"
ChIJVVVVVRk1joARUv-B8d49qAI,PowerProduction Software,37.2400824,-121.9605977,1,2,"15732 Los Gatos Blvd #300, Los Gatos"
ChIJtUqZKqM1joARXbJ5PLKIq2g,"HighWire Press, Inc.",37.2422658,-121.9602494,3,1,"15575 Los Gatos Blvd, Los Gatos"
ChIJBQyS9Qc1joAROqFqxHuGYWo,"TidalScale, Inc.",37.2440292,-121.9579571,5,1,"15466 Los Gatos Blvd #109-156, Los Gatos"
ChIJy5puNPY1joARabR6Fj4vAhY,Explain.Care,37.2447857,-121.9156877,5,1,"5162 Cordoy Ln, San Jose"
ChIJ0atfQtFLjoAR6WTakqrFaNU,NoCodeZ,37.2545039,-122.0552905,5,1,"21789 Congress Hall Ln, Saratoga"
ChIJOUj3nCZLjoARGVkpmCtJeMU,Asparia Inc,37.2522969,-122.0316469,5,2,"20501 Lomita Ave, Saratoga"
ChIJq0nAKKU1joARPwOpzRwxTjs,ShareVault,37.25089,-121.9612819,4.3,4,"16615 Lark Ave # 200, Los Gatos"
ChIJS4UjP7M1joAROLTYme12KT4,VMDOC,37.2509077,-121.9485267,5,1,"2460 Samaritan Dr, San Jose"
ChIJpQoGqKM1joARYATmyLXpxa8,Audible Magic Corporation,37.2514213,-121.9670253,4.5,2,"985 University Ave # 35, Los Gatos"
ChIJA4MSd8XJj4ARJi_F4sjCXwo,Arcadyan Technology North America Corporation,37.2533323,-121.8594644,5,1,"5450 Thornwood Dr suite j, San Jose"
ChIJqVOi099KjoAR4CKnMPDAuFU,Software Developers Inc. (SDI),37.2572392,-122.0357547,4.3,3,"20665 4th St #204, Saratoga"
ChIJWXnyhSdLjoARU9kKS9rjxfA,Computer Experts Corporation,37.263789,-122.038717,4.8,38,"20850 Saratoga Hills Rd, Saratoga"
ChIJK7HJo-BKjoARP62MJIiyYjY,Codeminders,37.257116,-122.033814,5,1,"14500 Big Basin Way g, Saratoga"
ChIJx0rMKD-2j4ARsCncqmZSWkc,UserZoom,37.2639557,-121.9838135,5,2,"1484 Pollard Rd #271, Los Gatos"
ChIJ-0SwsOY1joAReAudWonQO5Y,Optimal Virtual Employee,37.2583586,-121.9587239,4,3,"109 Mojonera Ct, Los Gatos"
ChIJ1QOykOE1joARX80ySZ1ht9I,Andolasoft Inc,37.2628504,-121.9339561,5,4,"2059 Camden Ave #118, San Jose"
ChIJRaMiqTs1joARTIREP41AFV8,Orangescrum,37.2628504,-121.9339561,5,1,"2059 Camden Ave #118, San Jose"
ChIJQ2bwfjY1joAR_7ytQiQq1MA,OompiTech LLC,37.2613943,-121.9237111,5,2,"1900 Camden Ave, San Jose"
ChIJpxXVCGg0joARagABGh8OYys,VinesOS,37.2615108,-121.9239136,5,5,"1900 Camden Ave, San Jose"
ChIJaVb-OuczjoAR3Jzzlgj2I84,ShamshadTech,37.2635118,-121.8761865,5,2,"1095 Branham Ln UNIT 205, San Jose"
ChIJPVEpo6IzjoARyEvYD9WZw9Y,WalkWater Technologies Inc,37.258077,-121.779761,4.4,30,"6040 Hellyer Ave #100, San Jose"
ChIJzQ-902kujoARArpXNogGIGw,Biztek Innovations,37.2569856,-121.7797335,5,2,"6120 Hellyer Ave #100, San Jose"
ChIJsRfKs7ovjoARXGKWpwqNaX8,ASAP Systems,37.257338,-121.783137,5,2,"355 Piercy Rd, San Jose"
ChIJg4yLGmoujoARlrpAghMvifY,Bradford Technologies,37.2562496,-121.7830388,3.8,4,"302 Piercy Rd, San Jose"
ChIJ-QWRD2oujoAR-QnaP0dWkm0,BlackBag Technologies Inc,37.2562451,-121.7830445,5,3,"300 Piercy Rd, San Jose"
ChIJwaLAJYPMj4ARHohmG4MME6c,"CDS Visual, Inc.",37.2575872,-121.7793254,5,6,"6050 Hellyer Ave #175, San Jose"
ChIJY4e8pmkujoAReO9zJkg-XHI,Candor PS,37.2574515,-121.779128,5,2,"6060 Hellyer Ave #100, San Jose"
ChIJNbO1NGgujoARSvc6I0z-1WA,"EmpInfo, Inc.",37.2591961,-121.7838393,5,1,"5900 Silver Creek Valley Rd STE 150, San Jose"
ChIJWZ67OmoujoAR3fZqFsvXmIA,Brightex Bio-Photonics,37.2574014,-121.7829445,1,2,"359 Piercy Rd, San Jose"
ChIJO7Q_p2hLjoARYMtdB1SnLOI,Pratham Software Inc.,37.2707497,-122.0524841,5,2,"21860 Vía Regina, Saratoga"
ChIJx0rMKD-2j4ARYDdDHARdADc,Sofmen - Web & Mobile Development,37.2721992,-122.0126,4.9,13,"19413 Kerwin Ranch Ct, Saratoga"
ChIJW2QJHheHhYAR0X5TkR7ZYAc,Smart Time Apps,37.2666126,-121.9539957,2,1,"1350 Dell Ave, Campbell"
ChIJAQAAAASfj4ARVInWWSg5HQY,Lumina Decision Systems,37.2665274,-121.9539387,3,2,"1350 Dell Ave #107, Campbell"
ChIJM76hNpw1joARjAseO5mAPtI,iQlance Solutions - App Development California,37.2678432,-121.9289807,5,1,"2976 Casa Nueva Ct, San Jose"
ChIJAXJaQwkujoARpIdPVrPAF6g,Lynx Software Technologies,37.2677086,-121.7943669,4.6,7,"855 Embedded Way, San Jose"
ChIJYVJxV_o1joARdFVDbn_Qrlw,Import.io,37.2802516,-122.0034169,4,2,"12980 Saratoga Ave building 1 suite b, Saratoga"
ChIJGQsDt-Y0joAR8XIIddT1bU0,Dassault Systèmes,37.2815181,-121.9411208,5,2,"USA, 655 Campbell Technology Pkwy STE 200, Campbell"
ChIJGQsDt-Y0joARhufdz9aVlD4,"Dasher Technologies, Inc.",37.2803623,-121.9428897,3.7,9,"675 Campbell Technology Pkwy #100, Campbell"
ChIJGQsDt-Y0joARjwB8l81cUV4,Centric Software Inc,37.2814867,-121.9411484,5,1,"655 Campbell Technology Pkwy STE 200, Campbell"
ChIJOalRWvowjoARcYX-Zr_0u0k,Zone24x7 Inc,37.2760613,-121.878253,5,4,"45107018, San Jose"
ChIJM-lLQ8AzjoARnas7oNB0NcU,Secudrive,37.2759894,-121.8780949,4,3,"San Jose, Almaden Expy"
ChIJAQDsK6rKj4ARqF6cG5ypY3M,"Voice4u, Inc.",37.2895458,-122.0330894,5,1,"12333 Saratoga Sunnyvale Rd Ste. H&I, Saratoga"
ChIJ_aBXI97Lj4ARNjQ4cYjohqE,InfoObjects Inc,37.2897506,-121.9880585,4,28,"4950 Hamilton Ave, San Jose"
ChIJ98psyyA1joAR1oRNv2xwfWQ,Zafesoft Inc.,37.2877926,-121.94878,5,1,"51 E Campbell Ave #106, Campbell"
ChIJq6o6D2g0joARjjRKkfPUPTY,Babblelabs,37.2887609,-121.9352672,5,2,"1901 S Bascom Ave, Campbell"
ChIJo75uz8I0joARobnbUbpCVnw,Komprise,37.2887609,-121.9352672,5,3,"1901 S Bascom Ave #500, Campbell"
ChIJ4_kOjTO3j4ARXtLfYx_rUmA,Peel Technologies,37.2878586,-121.9352672,3,14,"1999 S Bascom Ave, Campbell"
ChIJg1ywVkc1joARfj3w5w_KIno,Agile Datapro,37.2898348,-121.9502037,5,2,"1875 S Winchester Blvd #101, Campbell"
ChIJ_THh099KjoARs-a5DnXxtRY,FreeAgent CRM,37.2863821,-121.9430584,5,3,"307 Orchard City Dr #210, Campbell"
ChIJSbGVSeA0joARQ8zwVr0V9xA,Mashvisor,37.2819522,-121.9458253,4.1,43,"532 Railway Ave #729, Campbell"
ChIJW2gzJII1joARsXCbHvoS4qg,CrystalGraphics Inc,37.287776,-121.935157,3.5,12,"1999 S Bascom Ave # 700, Campbell"
ChIJAfqH_wg1joAR3G9hL6ptm5w,Mojio,37.2857383,-121.9442001,5,2,"300 Orchard City Dr #100A, Campbell"
ChIJ2xoa-iG1j4ARVEHmsptYQtk,Workspot,37.2878586,-121.9352672,5,2,"1999 S Bascom Ave #1000, Campbell"
ChIJM890D-k0joARpVnkAzM1lK8,Condeco Software Inc.,37.285367,-121.932387,5,1,"2105 S Bascom Ave #150, Campbell"
ChIJ1VMeBuk0joARAp_Zmh-w89U,BlueStacks,37.2853976,-121.9320283,4.1,20,"2105 S Bascom Ave #380, Campbell"
ChIJA7P-rcI0joART7hYEBngM7I,BairesDev,37.287783,-121.9350564,4.3,11,"1999 S Bascom Ave, Campbell"
ChIJ3z2IAek0joAREc0T2e2f3B4,IC Manage Inc,37.2853103,-121.9319831,5,3,"2105 S Bascom Ave, Campbell"
ChIJDYg9w3c1joARhyL0UeD_gA8,Richpanel,37.2878646,-121.9199162,4.7,26,"1885 Cabana Dr, San Jose"
ChIJKyCKTOTJj4ARViHjHTXR-4g,Kloves Inc,37.2873541,-121.7678515,5,3,"5551 Stoney Creek Pl, San Jose"
ChIJDVcA-iG1j4ARNlhODNkJelE,Moxo Cupertino,37.2954804,-122.0327238,3.9,7,"1601 S De Anza Blvd Suite 158, Cupertino"
ChIJq6rq8CG1j4ARkBOV4a845WY,Mist Systems,37.2955215,-122.033046,4.5,10,"1601 S De Anza Blvd #248, Cupertino"
ChIJoaQCJBm1j4ARMRVzbMZREe4,"AssetPulse RFID Tracking Solutions for Manufacturing, Clean Rooms, R&D Labs",37.299265,-122.0318528,5,2,"1340 S De Anza Blvd #106, San Jose"
ChIJyRPDfv-1j4ARmlAZ16bb8Qs,Appcode Technologies - Mobile App Development,37.2987293,-121.9990291,4.7,3,"5434 Castle Manor Dr, San Jose"
ChIJv3AufSq1j4ARj_7msK35Kbk,FenixCommerce,37.2987293,-121.9990291,5,1,"5434 Castle Manor Dr, San Jose"
ChIJdZtNFjI1joARISeECjNYe5E,Payment Software Company - PSC,37.294915,-121.959979,5,1,"591 W Hamilton Ave UNIT 200, Campbell"
ChIJ5xzwlsQ0joAResoFltDXCqM,Phoenix Technologies Inc.,37.2930424,-121.9342902,5,1,"2105 S Bascom Ave Suite 316, Campbell"
ChIJ28R216zKj4ARttYw4jQz8J4,Xcelo Technologies,37.2936861,-121.934097,5,1,"900 E Hamilton Ave # 100, Campbell"
ChIJcZtZRa5KjoARx4A00d-gExo,Verifyle,37.2936633,-121.9344672,3.8,4,"900 E Hamilton Ave Suite 440, Campbell"
ChIJ4WGYxhc1joAROIWxEzf-N_0,"Winjit Inc, California",37.2936633,-121.9344672,5,1,"900 E Hamilton Ave, Campbell"
ChIJNasFwsQ0joAROqw6nE5Ti6Y,Saama,37.2936633,-121.9344672,5,7,"900 E Hamilton Ave Suite 430, Campbell"
ChIJi-1HIL80joARUeu0K2gF6w8,Viosoft,37.2948643,-121.9218396,5,1,"1975 Hamilton Ave, San Jose"
ChIJDaE7jQc1joARiJDwWMerHCw,SpiraLinks Corporation,37.2936084,-121.9343491,5,2,"900 E Hamilton Ave # 100, Campbell"
ChIJS2tY6sQ0joARx7pA543jlUI,HappyNeuron Pro Inc,37.2935793,-121.9343839,1,1,"900 E Hamilton Ave #450, Campbell"
ChIJ34-tabUvjoAR7qFcaRaAeWU,ExactBid,37.29303,-121.934548,5,4,"910 E Hamilton Ave, Campbell"
ChIJF7faNxK6j4ARIik3_sgRHpQ,LiveAction Inc.,37.2909556,-121.9342025,4.4,16,"901 Campisi Way #222, Campbell"
ChIJswQojerLj4ARjyk4CGytgtQ,WekaIO,37.2931414,-121.9342754,5,2,"910 E Hamilton Ave, Campbell"
ChIJeeCOp-O1j4ARmRu2KQN0ZmE,RICOH360 Tours,37.2802149,-121.9431879,5,2,"675 Campbell Technology Pkwy #200, Campbell"
ChIJ4VqmYqHMj4AR0Nfk3IFMdMw,"MiaRec, Inc.",37.2878586,-121.9352672,4.4,7,"1999 S Bascom Ave Suite 928, Campbell"
ChIJYdE249a2j4ARmC1fMcUBEG0,Dreamfactory Software Incorporated,37.2877769,-121.9351567,5,5,"1999 S Bascom Ave, Campbell"
ChIJq5PU6Ac1joAR4t6q8weweDw,Applied Systems Engineering (ASE) Inc [a Kalkitech Company],37.285106,-121.9322894,5,2,"2105 S Bascom Ave Suite 155, Campbell"
ChIJs0pWBgrJj4ARlwNOOGC0xlI,"Spiraledge, Inc.",37.285106,-121.9322894,5,2,"2105 S Bascom Ave Suite 160, Campbell"
ChIJVVWpqZ80joARr_ijW1IFnno,Sthima,37.2944163,-121.9044233,1,1,"1675 Collingwood Ave, San Jose"
ChIJh0pTs7K1j4ARsGM1AdEn-SM,Numerify,37.3086577,-122.031739,5,5,"1054 S De Anza Blvd #203, San Jose"
ChIJp3r5trrKj4AR4OD4Xo5gnkE,Versonix Corporation,37.3036453,-121.9810367,5,1,"1175 Saratoga Ave, San Jose"
ChIJ3VTbsFDLj4ARjJkhrspSzhg,"Lucidum, Inc.",37.3089358,-121.9311618,5,1,"950 S Bascom Ave #3011, San Jose"
ChIJ8aPkhbkzjoAROcdpxn-t004,Element5,37.305706,-121.899617,5,3,"1245 Lincoln Ave, San Jose"
ChIJZTtQqlPLj4AR5q_Bdr2479s,Coggno,37.3053928,-121.8994038,5,2,"Coggno Inc, 1261 Lincoln Ave, San Jose"
ChIJp2zq6lczjoARzoDa40UHTV4,Vendus Product Labs,37.3083324,-121.9004658,5,1,"1100 Lincoln Ave #239, San Jose"
ChIJYXUL61czjoARxQCoq8DJYCM,Sureify,37.3082018,-121.9004934,5,1,"1100 Lincoln Ave #251, San Jose"
ChIJDX2vB0ctjoARbChFWyflITE,SupportFinity,37.3048454,-121.7878577,5,4,"3990 Country Vista Ct, San Jose"
ChIJC8FuYHG0j4ARLYPGEhtfs5g,ComputerVisionSoftware.com,37.3167087,-122.0766909,4.3,3,"10366 Avenida Ln, Cupertino"
ChIJJxADIwS1j4ARXk3aCcYut48,DataCare Corporation,37.3108435,-122.0312097,4.5,4,"992 S De Anza Blvd, San Jose"
ChIJjXjztv_Lj4ARUdv_nEzkrp0,Great Software Laboratory Inc. (GS Lab),37.3147338,-121.9735262,1,1,"4030 Moorpark Ave Ste 232, San Jose"
ChIJSa_8upXKj4ARHmgK9UeUEIA,D2S Inc,37.3155958,-121.9736358,5,6,"4040 Moorpark Ave # 250, San Jose"
ChIJEfZyyL3Kj4ARROy3WX8BLzM,Valiantica Inc,37.3093586,-121.9769133,3.4,7,"940 Saratoga Ave, San Jose"
ChIJA8QeoZXKj4ARr3WcfuDwy6Q,Bizmatics Inc,37.314631,-121.972542,2,8,"4010 Moorpark Ave #222, San Jose"
ChIJpSMX0gvKj4ARpoOPyNtINrU,"QRIXS SYSTEMS, INC",37.3111563,-121.9770371,1,2,"888 Saratoga Ave Suite 201, San Jose"
ChIJH-g9ZO7Jj4ARrADc6WbomCw,OutworX Corporation,37.315682,-121.9741592,4.6,5,"4100 Moorpark Ave Reference, San Jose"
ChIJMUpsqztLjoARXm403R-g2bo,MulticoreWare,37.314646,-121.972683,5,1,"4010 Moorpark Ave #228, San Jose"
ChIJN__wfo-7woAREvm8RocquCU,SA Technologies Inc.,37.3175347,-121.9475082,3,2,"Plaza West, 3031 Tisch Way #110, San Jose"
ChIJUTqO6GjJj4ARMX0rREAgNjM,The Qt Company,37.3177477,-121.9477554,5,3,"3031 Tisch Way #110, San Jose"
ChIJRwRFRt_Kj4ARLKSBemXa878,Trend Micro,37.317553,-121.9485017,4,5,"560 S Winchester Blvd Suite 400, San Jose"
ChIJWV2fpJnBj4ARpoL05Ay9-gY,Crest Data Systems,37.3174526,-121.9476739,5,1,"3031 Tisch Way #602, San Jose"
ChIJK8AzUd_Kj4ARVuwk3eGawvA,Xcalar Inc,37.317646,-121.9475635,5,1,"3031 Tisch Way #450, San Jose"
ChIJNasFwsQ0joARPurVYefFHyo,ShowMyPC,37.3175686,-121.9476806,4.2,5,"3031 Tisch Way, 110 Plaza West, San Jose"
ChIJAQAAACTLj4ARFCiENu3Zuo0,Levanto Technologies,37.3119692,-121.9259752,5,1,"1919 Fruitdale Ave D12, San Jose"
ChIJLSUkbEUzjoAR0OLvWSVsAXA,Nikhedonia Incorporated,37.3147568,-121.8794086,5,13,"1295 S Almaden Ave, San Jose"
ChIJfblJnhctjoARnpcekCJtZ_U,Kaydoh,37.3143495,-121.7942934,5,36,"3277 S White Rd Unit 108, San Jose"
ChIJ8z8H4HO0j4ARfYBWfFN0SP4,CountThings,37.3167038,-122.0766635,5,1,"10366 Avenida Ln, Cupertino"
ChIJN6zhso61j4ARA9VkvyBLcDg,Movius,37.3243673,-122.0380768,1,1,"20823 Stevens Creek Blvd Suite 400, Cupertino"
ChIJfVOom3K1j4AROnddbod6qgY,Indium Software,37.3234947,-122.0215001,5,1,"Suite 100, 19925 Stevens Creek Blvd, Cupertino"
ChIJOZyTqam1j4ARn_yf0pDGdo8,Prolific Minds,37.3188651,-122.030242,3,2,"20370 Town Center Ln UNIT 168, Cupertino"
ChIJw_-fDIO1j4ARg9svc_HEoOE,Sysfort Inc,37.3234947,-122.0215001,5,1,"19925 Stevens Creek Blvd #100, Cupertino"
ChIJVVWVq6a1j4ARqJqIKxozYB8,ESIGN GENIE,37.3234947,-122.0215001,4.9,172,"19925 Stevens Creek Blvd #100, Cupertino"
ChIJTceQlVW1j4ARuhV8QqPTfOg,Deemsoft,37.3234947,-122.0215001,5,1,"19925 Stevens Creek Blvd, Cupertino"
ChIJcVwP_CfKj4ARgzEYJuk4Jes,"Falkonry, Inc.",37.3238504,-122.0318212,5,5,"10020 N De Anza Blvd #200, Cupertino"
ChIJqSgP37y1j4ARe1VjILep2qI,Teton Electronics Inc.,37.323767,-122.0242091,5,25,"20045 Stevens Creek Blvd # 2C, Cupertino"
ChIJVVWVq6a1j4ARJrq2zBxsimg,Xiid,37.3234811,-122.0211144,4,1,"19925 Stevens Creek Blvd #100, Cupertino"
ChIJp3MZiAS1j4ARLszrybim-DM,Splashtop,37.324013,-122.0138811,4.8,19,"10050 North Wolfe Road Suite SW2-S260, Cupertino"
ChIJVyo0dK67j4ARGz0u48h6Yow,Boardwalktech,37.3236421,-122.0135023,4,1,"10050 N Wolfe Rd, Cupertino"
ChIJ_xIq_qK1j4ARZ1qUl9oZ_xo,Softwell,37.3272331,-122.0184798,5,2,"10290 Colby Ave, Cupertino"
ChIJmzTxWwq3j4ARWybfYKUnlMA,Zenarmor,37.3234947,-122.0215001,5,6,"19925 Stevens Creek Blvd Suite 185, Cupertino"
ChIJcTR0CZ-1j4ARs7HqHY5FbQ0,Rancher Labs,37.3239656,-122.0094814,5,1,"19409 Stevens Creek Blvd #260, Cupertino"
ChIJJ0IEOAjLj4AR-eGxmzLAjqE,Bluestone Apps,37.322622,-121.9902484,5,4,"4988 Stevens Creek Blvd, San Jose"
ChIJ47QAZ4PKj4ARu8MbXb2wx9k,Smart Games LLC,37.3207495,-121.9876728,4,1,"4863 Capistrano Ave, San Jose"
ChIJk1zSKJDKj4ARdVxYDCqk6-M,"MidTech Software Solutions, Inc.",37.3216576,-121.9793473,1,1,"4300 Stevens Creek Blvd, San Jose"
ChIJo-qrYI3Lj4AR6nl5I_jJKXQ,Control ERP - Custom Enterprise Resource Planning Solutions,37.319066,-121.979458,4.6,5,"4311 Norwalk Dr t208, San Jose"
ChIJk1zSKJDKj4ARoHSy73RGZtM,KanTime Healthcare Software,37.3217165,-121.9794595,5,1,"4340 Stevens Creek Blvd #162, San Jose"
ChIJa43N7H61j4ARte9G02-XXcQ,SRA America,37.3227811,-121.97806,3,1,"5201 Great America Pkwy #419, San Jose"
ChIJhYe_eD1_j4ARddo_XRCi8PM,Dynamicsoft Inc.,37.3257944,-121.9671062,5,4,"111 Saratoga Ave, Santa Clara"
